v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,target
-0.79207,-1.53485,0.60615,-2.27976,-1.43551,2.44272,-1.18421,1.83623,-2.79111,0.38763,-2.84928,-1.45238,-3.43264,-0.70667,-0.71361,-2.32598,-2.71869,-1.76932,0
0.21583,-0.93657,0.75756,0.37746,-2.60988,1.85922,2.6246,0.24354,-3.43729,-0.26536,1.34649,-1.45203,3.12942,2.18204,-0.95989,-2.69853,4.91233,0.09381,0
-0.32059,-2.16565,-1.63757,0.79361,-1.9557,-0.18525,-0.88095,-0.98657,-4.14707,1.6134,-0.68718,-1.17566,-0.04852,1.20091,1.55407,-3.31448,0.24915,3.10828,0
-0.12929,-0.06134,3.58236,-1.48172,1.41317,-1.47032,-1.05289,1.87866,-1.99177,1.13534,0.49201,-0.21985,-1.43865,-0.64562,-0.28754,3.76759,-3.87927,-0.74953,0
-1.85108,-3.65335,0.10311,-0.18259,-1.71422,1.21289,-2.22696,-1.5303,-2.15125,0.77353,-2.36629,-1.76121,-5.21324,-0.88661,-0.2487,0.90993,-0.10623,-1.38851,0
-0.26122,-2.21342,0.10694,-1.23918,-1.85021,1.24061,1.20473,-1.53637,-1.1038,-0.36734,0.29805,1.21217,-0.27224,0.11578,1.48394,-2.57618,-1.1439,-1.25588,1
-0.56816,-1.98874,4.03287,-3.5057,-3.79955,-1.09911,-3.05112,-2.50391,1.69988,0.75155,0.33618,0.39089,-2.19964,-8.21735,0.17178,1.58305,-6.64538,-1.59947,0
-1.31312,1.42787,-1.83937,3.5163,0.08783,1.51555,-4.71719,1.40524,-0.66316,0.27718,0.17489,-1.72597,-8.75027,-5.87851,1.56043,6.46948,-1.45471,-3.01266,1
1.40839,-2.13616,3.10857,-3.53928,1.21365,-0.30685,1.75267,-1.1957,0.30385,0.39402,0.56038,0.83987,0.62361,3.93645,-0.01378,0.10816,-0.52563,-2.88845,1
-0.88082,-2.16016,3.5599,-1.92467,-5.53848,0.36506,3.83542,-1.09616,-3.65604,-0.72186,1.63151,-3.28428,4.43776,-0.83209,0.29454,-1.92703,-0.74189,1.74537,1
-1.73855,0.34847,1.49286,1.4488,-0.78418,-2.85522,-0.52094,1.19168,3.78654,1.61085,-0.09156,-1.29228,-0.10885,-2.31655,-0.43367,5.20385,2.98687,1.11886,1
0.62973,-0.25371,0.55901,-0.47849,1.54286,5.30065,-2.34293,5.78759,0.78035,-1.67738,0.66624,-3.28614,-3.49964,-6.08499,0.70996,-5.76861,-3.71221,3.38674,0
-0.20238,3.95959,1.29402,2.1923,-3.89592,-2.21643,-0.36413,0.9754,3.78114,-1.0447,0.21577,0.40593,2.39983,-8.73509,0.69481,3.35037,0.04866,-0.25168,0
-2.36896,0.09716,0.65684,-1.6079,4.63558,4.43446,-0.25521,-1.72631,0.32064,-0.57815,0.09118,1.40685,1.24458,-0.72034,-0.11871,-1.91598,-2.52466,1.40943,1
-0.96958,0.66492,2.36209,-2.86069,1.25572,3.45137,-0.44183,2.79344,-0.21996,1.0693,0.72408,3.22278,3.07622,-2.96268,-1.07539,-5.33226,-1.60099,0.86609,1
0.41719,0.5791,-0.15526,0.332,-0.53793,-0.83679,-1.83,2.21816,-1.60847,-0.17668,-1.14999,-1.55887,-2.99137,-1.10894,-0.93475,1.42992,-2.14403,-0.36973,0
-0.7471,-1.64036,0.58358,-2.26159,-4.27963,0.18418,0.40739,-2.87645,-0.19134,1.79484,4.09883,-2.98688,-1.45194,-1.18973,0.08041,2.37809,-2.04896,-1.31431,1
0.4586,-0.60629,0.31558,-0.87652,-0.7552,2.5201,-0.87336,2.45893,-1.61467,0.5507,-2.77966,0.04729,-0.86341,-3.61116,0.00722,-6.00846,-3.86918,1.2045,0
1.96607,-1.29477,4.01508,-0.71885,-0.3599,-4.87106,1.54362,-0.51225,-0.61853,0.83924,-1.59558,0.29899,4.51448,1.0362,1.28087,-0.25958,-1.20628,2.70842,0
-0.28586,1.84347,1.16541,-1.62451,-3.97013,-2.91876,-2.57618,-1.34052,4.92959,1.71966,0.71159,-0.94591,-2.71082,-5.9238,-1.02338,6.71785,-2.26871,-3.97702,0
1.93284,5.17077,-1.7984,-0.93939,-0.39701,-3.26963,2.17023,3.82828,0.47424,0.41805,4.06394,-0.23592,2.9749,5.25975,1.70123,3.09392,0.92035,-1.41647,0
-0.02093,2.10183,3.97396,-0.2601,-3.61058,-1.65576,-2.09348,-0.62217,0.89947,-0.17485,-0.2471,-0.18476,0.10649,-9.09008,-0.38262,4.55287,-3.45883,-2.23433,0
2.24409,1.26358,1.69677,1.78352,-1.54842,3.04351,-1.03255,2.06475,-0.04857,-0.07019,0.65315,1.39101,-0.00857,-8.53139,0.6281,-3.72925,-0.98045,-0.97066,1
-0.24366,0.7289,4.3498,1.48928,-1.82728,0.55702,-2.9797,0.77388,1.28944,-2.12288,-1.63292,-0.52781,1.20696,-11.86953,-1.66347,-0.50416,-2.01268,2.59541,0
0.62641,1.38766,2.73234,1.22307,-4.69432,1.13693,-3.24031,0.38246,3.4861,-0.70239,0.7193,-0.75828,-0.74521,-15.8443,-1.6539,-1.12784,-5.09416,1.33926,0
2.08103,-0.35442,0.61029,-2.60648,-8.771,-1.41329,-0.69053,-3.70924,4.48239,-0.23012,4.43576,0.19833,3.12127,-9.12018,0.47874,-4.07269,-3.00809,0.5892,0
1.07211,-0.03158,3.76825,0.42762,-0.29934,5.01451,-0.30063,0.83179,-0.29912,0.15712,-1.16933,1.96925,2.20871,-8.00665,0.44683,-5.71053,0.36836,-0.67427,1
-1.06727,-2.22409,1.95214,1.63858,1.07988,-2.79654,-1.00169,-0.65581,-1.55677,-1.99238,-1.03094,-2.38566,-4.00413,1.16024,0.11846,7.00597,-0.09259,-0.22726,1
-0.79539,0.45783,0.87447,-0.04402,-0.7653,-0.13783,-1.32923,2.59529,1.89517,-0.79477,1.48105,-2.34923,-1.56782,-3.95356,-1.91292,1.48353,-1.67219,1.92274,0
-3.2368,0.99307,2.56926,0.60512,-0.12255,-2.62057,6.15348,0.29226,-3.28943,-0.34561,-1.07915,0.11487,4.78704,4.46685,-0.52482,5.32812,-0.43004,0.0651,1
-3.16353,2.75525,-1.21599,-0.43228,0.52595,0.82352,0.51227,0.47704,-0.07964,1.83269,-2.75211,-2.28016,-0.05819,0.669,-0.11971,3.20858,-1.48808,-0.20075,1
-1.4943,-1.95612,2.43182,-2.48153,-3.67035,0.38372,-1.08723,0.09731,2.19888,-0.34598,0.82236,-0.85381,0.24992,-4.99921,-0.45872,-1.46649,-0.8496,1.06414,0
0.90049,-2.94888,4.43264,-1.80986,-1.13474,-3.61789,-0.06255,3.83349,-2.52743,2.51633,0.72169,0.45568,-0.07359,2.42783,1.25785,0.83867,1.04203,0.03327,1
-1.35231,-3.3748,-0.22946,3.18873,2.48563,-3.37869,1.39888,-2.05501,-3.33959,-0.19229,3.17728,-0.80542,-5.20186,6.3624,0.74704,9.43189,0.4585,-1.05217,1
0.04655,-1.67061,0.66151,1.29665,-1.62564,1.69124,-1.23159,-0.34902,-1.04249,0.14371,3.10418,0.44377,-4.90953,-5.09646,0.63019,1.78166,-2.57477,-2.41263,1
1.68329,3.17626,-0.61253,0.24486,-4.07397,-0.70434,-0.14179,1.59822,3.6898,0.15119,2.75574,-0.74183,3.72162,-6.44177,-0.46284,-2.95997,-0.5792,2.57561,0
-4.16089,0.52031,2.02274,3.44064,-3.17475,-0.61698,2.94822,-1.62989,-3.69691,0.37224,-0.08432,-1.21512,0.94333,-3.54485,-0.18517,6.94146,-0.54153,-0.45027,1
-1.27747,-0.92374,5.26069,-2.14147,-1.10764,-0.35213,0.37048,1.02828,0.81945,-0.29376,-0.22335,-0.57594,-0.0536,-2.84099,0.07268,3.59233,-0.63029,-2.2144,0
1.71791,0.61721,0.44864,-3.13524,1.63945,-1.48244,1.11569,2.6414,-1.80287,0.34501,2.84784,-1.44222,3.23954,6.6693,1.22838,-1.9231,-0.31736,2.50396,0
-0.24548,4.14582,-0.27089,-0.28366,-2.8247,-3.82473,-0.85318,-1.19815,3.26108,-1.50655,1.91592,-0.74507,5.58003,-1.62274,0.67974,3.1894,3.02408,1.79129,0
1.97689,0.69616,1.76389,1.68145,-2.43598,-0.87183,-2.42515,-1.75924,3.58042,0.46122,-0.56162,-1.70696,-0.76511,-8.22125,-0.42899,1.55297,-0.13125,-0.21879,0
1.5605,-4.12547,2.5668,1.29236,1.97044,2.12531,0.0386,-3.95241,-2.17259,-1.19372,3.27532,3.3162,0.18917,-0.93643,0.22781,-2.14131,1.54529,-0.38544,1
-0.67172,-3.17585,-0.97962,0.92823,-1.31048,4.5316,-1.53295,0.50398,-2.81506,0.16218,4.34161,3.2119,-2.36859,-2.76252,-1.05655,-5.20438,2.07453,-0.2312,1
-2.46102,-0.68785,1.64848,1.06535,-0.40686,2.20366,0.97872,0.45286,-0.96753,-1.05691,0.40511,0.23648,-2.84624,-4.29582,0.89554,2.83855,-3.11253,-1.77886,1
-4.23693,1.11394,-0.91495,-5.75787,1.75201,-1.80509,2.34388,3.60187,-3.49437,0.17497,3.10666,2.28982,4.57895,10.84261,-0.31624,-0.03919,-1.45675,2.15825,1
-1.40569,-4.09302,-0.1202,-2.00456,-2.59081,2.37982,2.05899,-0.00793,-1.64381,0.96746,0.07876,-4.23366,-1.46015,4.04599,0.8538,-2.53675,2.48467,0.3559,0
-1.20412,-4.39805,2.1032,1.34442,-1.62218,-0.97927,-0.30215,2.52436,-0.92703,-1.28986,1.54399,-0.68201,-5.05843,-2.60959,2.00213,1.94914,-1.25848,0.71824,0
-2.87941,3.2633,0.54319,1.77746,2.25478,-1.4911,0.3633,4.66615,-0.89766,1.14188,-0.10982,-0.21863,0.62182,1.0495,-0.56176,5.65717,1.24127,1.0484,0
-0.95613,-0.27195,-0.68357,0.8831,-1.10048,0.68666,1.83577,-1.43929,-0.23561,-0.24695,1.31271,0.32747,-0.84424,-1.47924,0.01387,1.0931,-2.62528,-0.72369,1
-4.13023,2.05536,3.87243,-1.52629,-0.93403,-1.80968,-1.84061,2.78,-0.72651,-0.89238,0.57962,-1.4263,-0.72843,-3.79238,1.87277,8.10333,-2.59356,-0.47026,0
0.62316,-0.13771,1.86462,1.06186,-1.37627,2.3286,-0.48693,3.68387,-0.4453,-0.53602,0.84857,3.29065,-0.54629,-6.39274,-0.57866,-3.61939,-0.40955,-1.09471,1
-4.8051,-2.4183,1.65506,-4.53896,-4.80677,1.49605,-3.24617,-1.37295,2.2822,0.40587,0.32682,-3.4597,-3.53953,-2.80305,-2.08697,3.6873,1.96932,-2.42373,0
1.63123,5.48795,-0.00809,2.42432,0.39938,-0.9387,-0.44013,5.62021,2.07196,-0.90267,0.95636,-3.16147,-2.49115,-3.69553,-1.15529,5.87783,-1.22684,-1.81225,0
-2.65528,-2.64722,1.16372,0.12536,0.22988,2.38261,-1.16028,-0.20151,-2.84147,0.8886,2.62042,0.28354,-6.84429,-1.03796,0.0572,5.28036,-1.55902,-4.2284,1
-0.43964,2.77791,-1.46839,0.39006,1.32395,-2.59505,1.09045,1.80931,1.53064,0.52857,0.39176,0.89495,3.73356,3.7153,-0.40186,1.0652,2.66862,1.96553,0
-2.63659,-2.13894,4.02023,-0.90824,-1.33581,0.47823,3.32073,-0.70384,0.0899,1.5542,-2.482,-0.50063,1.28904,-2.03392,-0.34539,1.22771,-1.87633,-0.37477,1
1.21362,1.21096,-4.14741,4.88235,-3.50376,0.03887,0.27447,-0.61173,7.8094,-1.09868,2.32047,0.09772,-3.25532,-7.65364,0.82959,0.7479,1.71188,-0.84353,0
-0.75375,-1.97855,1.14534,-0.99786,2.2517,2.70868,-1.34723,1.22202,1.08551,-0.06305,1.15663,4.16606,-0.78578,-2.97505,-0.75144,-4.21503,-1.4878,0.74716,1
0.71101,-2.15984,1.28575,-0.18356,0.1354,0.08686,-0.41809,3.03542,-1.82691,0.13651,-1.18117,-0.34954,-0.96215,-1.27309,-0.414,-4.03748,-2.77237,2.88615,0
6.20256,0.82884,-1.37957,0.2652,-3.67547,0.898,-0.53507,-0.28127,3.94317,-0.62077,4.70565,-0.78504,1.18062,-5.92623,-0.24025,-6.91428,-0.83575,0.90797,0
-0.09865,-0.75098,1.62618,3.04424,0.30837,-0.81974,0.38179,-1.3764,-3.01693,-0.68758,3.41644,-0.45787,-7.90925,-0.42378,-1.19192,11.89936,-1.70177,-7.46064,1
-1.71578,-0.24675,-0.07662,-2.08881,-0.52954,-1.01804,-1.17074,0.26727,-0.41033,0.38908,1.832,-2.45204,-0.67006,2.90015,0.13369,2.96898,0.96654,0.62621,0
-3.17541,0.91704,-0.74671,-2.62818,0.30467,-1.88439,0.48139,1.96697,1.32408,-0.93742,0.8255,0.41834,1.12996,2.92058,1.25627,1.81144,-1.68616,1.6955,0
-0.80519,3.38277,0.58787,-0.94289,-3.00926,-0.07629,-2.54807,-0.10248,1.02026,-0.31832,0.44969,-0.92505,0.14292,-7.38379,-0.67589,2.13351,-4.17731,-0.52336,0
-0.0511,-3.82233,4.64501,3.44586,1.87218,0.27945,4.36691,-1.05058,-4.0964,-0.27013,1.34696,1.61444,0.79054,0.94465,1.62014,2.35496,1.57046,-0.44397,1
-3.07612,-4.49261,0.47544,-2.48639,-4.68319,3.06034,-2.56847,1.36477,0.4607,-0.81827,0.68477,-2.84192,-8.15668,-4.4011,-0.54713,0.38392,-1.66137,-2.59192,0
-2.24119,-0.01112,0.77691,-2.17793,2.09586,0.99322,-2.00674,2.42742,-1.12056,0.63576,-3.32968,0.26499,0.67728,0.62591,1.16385,-2.44398,-0.97796,2.40953,1
-1.2104,-0.1548,1.82412,1.00886,-3.20514,-2.69712,3.38113,0.12844,-4.89169,-0.12877,1.80379,-3.48733,0.87118,1.5905,2.54796,5.39242,-2.02968,0.50572,1
-2.65497,1.20572,-0.94856,-3.25786,-0.91084,0.70692,-4.22836,2.37951,2.11887,0.94891,-0.61503,-2.19663,-3.55643,-1.91245,-0.98817,1.7479,-1.54785,-0.37895,0
7.3954,-3.7323,-2.94471,-1.63203,-2.09078,2.0557,-1.91043,0.05986,1.15021,-0.45795,1.77813,-2.32638,-4.01473,0.95493,-0.25125,-10.54996,-0.11389,-0.11091,1
