v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,target
0.41175,-0.88594,1.56763,-1.2392,-0.50609,0.40241,-0.1991,-0.36066,0.79811,-1.3155,-0.97004,0.25646,-0.9723,0.57444,0.86559,0.26008,59.42668131553828
-0.18248,0.25817,-2.0683,0.30318,0.5524,1.14899,-1.06234,-1.0556,-0.39798,1.0756,0.32977,1.3986,0.13139,1.66229,-1.6497,-1.19903,-124.33600300460347
0.16163,-0.19307,0.60995,0.75154,-0.3415,-1.07175,0.8242,-0.70458,0.15541,-0.41075,-0.36719,-0.40403,-1.36095,-0.323,-1.80617,-2.36065,-135.4538430202566
0.77408,-0.2203,-1.50507,0.2627,-0.43915,0.61604,-0.07312,1.05734,0.74734,-0.02001,-0.53163,-0.01862,-1.02064,0.20504,-0.46479,0.51637,15.301538758110457
0.56369,-2.03858,1.00566,-0.22191,1.87744,0.92188,1.32863,1.23291,0.64139,-0.51216,-0.11285,1.36791,0.16337,0.17806,-0.79946,0.49963,0.34467974672786733
-0.77756,-0.63696,0.59364,0.71136,-0.77474,-1.9829,-0.60791,-0.57262,0.95603,-0.06053,0.30296,1.20159,-1.2879,-0.32363,1.48065,-0.41764,113.36643962602807
2.01062,2.3098,0.70549,0.40241,-0.85271,-0.35407,0.47461,0.66761,0.26915,1.03351,0.92283,0.1609,-0.28319,0.00434,-0.48214,2.67825,173.62012777659157
1.01652,0.92324,0.47546,0.0137,-0.58615,2.08169,-0.5381,1.52549,0.68841,0.59658,0.54597,-0.72268,-1.08912,-0.56746,-0.0048,-1.09681,133.01642985197154
1.25695,-0.46124,-1.25314,0.72665,-1.07136,0.19919,0.75739,0.31707,1.82658,-2.13711,0.72057,0.8333,-0.33616,-0.58916,-0.39217,-1.06327,179.4706064441417
0.09179,-1.07565,0.73224,1.12091,1.92971,0.92334,0.85942,-2.06128,-1.10891,-0.41541,-0.91304,2.8213,-0.41405,2.16578,-0.81116,-2.28444,-156.61971580212324
-0.63181,-0.95687,0.62499,0.23728,1.02025,-0.28176,1.19843,0.65914,0.15961,0.88273,0.14946,-0.58823,0.44859,1.76564,-0.50627,1.07706,-61.73375356076145
-0.44021,-0.0418,-0.76149,0.48121,-0.82201,-1.21442,2.19226,1.54865,-0.45434,-1.04949,-0.42511,2.1045,0.55324,-0.90045,0.26635,1.23288,-56.546450907398544
0.66536,0.19943,-0.01918,-1.42173,-0.41406,1.26294,-0.75424,0.45844,-0.06868,-0.14821,0.29296,-0.52262,-0.46319,0.79284,1.30687,0.89236,155.54215454808636
-0.41841,-0.93356,-1.595,1.81995,-0.91933,-1.27562,-0.52611,-0.14462,-0.58813,-0.55412,1.15663,1.28289,0.7788,-0.18274,-2.16277,0.87239,-130.24762394674752
-1.44719,0.23038,-1.03261,-0.04629,0.0619,2.01943,-0.93476,0.02361,0.73447,-0.68898,-1.61996,1.07697,-0.88644,-0.43796,-0.17934,-0.41225,-186.15487254477455
0.92352,-0.64612,-1.74321,-1.40381,2.46138,0.75113,-0.09922,0.37589,0.5484,-1.23232,-0.80062,0.63919,1.65263,0.4816,-0.62882,1.01547,-12.414753192156702
-0.90931,-0.65588,1.49787,-0.3117,0.80292,0.03708,0.1228,-1.3742,-0.25011,0.20607,-1.28616,1.45301,-0.18798,-0.84161,-0.7041,-1.23207,-205.7594352068159
-0.29309,-0.48716,-0.40697,-0.21377,0.13444,0.50188,0.84079,-0.32218,-0.31289,-1.08538,0.2977,-1.16812,0.25624,1.34696,-0.85624,0.16044,-73.5953823551952
-0.44333,-0.37241,-0.03701,2.09062,2.52151,0.68647,-0.72026,-1.47658,0.07166,-0.0406,0.53736,-1.75734,-1.19529,0.37239,0.83947,0.92612,69.18445746188495
0.66219,0.02219,-0.21317,-1.19596,-0.41349,-0.23759,-0.7528,0.26094,1.97284,-0.22252,-0.5904,-1.75155,1.09791,-0.71682,-0.21875,0.56117,71.51060698859936
0.06767,-1.06455,-2.2239,0.88618,1.27053,-1.56347,0.48817,-1.15832,1.11773,0.06891,-1.36947,0.35292,-2.54956,1.66781,-0.62922,1.59749,-84.22631448614375
-0.63001,-0.8579,-1.16438,0.0313,1.36252,-0.75689,1.02723,-1.66221,0.87785,-0.30142,0.37737,1.01934,-1.12834,0.39451,-0.91723,-1.51563,-46.60707759505259
1.44048,1.13284,-0.63971,-0.75734,0.2387,-1.94993,0.91886,0.05306,1.37258,0.62645,1.38045,-0.82881,-1.65121,-1.47313,-0.27886,-1.74036,224.92503230113817
1.2297,0.22825,-0.94599,0.23409,-3.31494,0.07936,-0.32685,1.41715,0.11688,0.75897,-1.02781,0.2043,0.39545,-0.03977,-0.39634,0.89747,-7.579563020997326
0.21534,0.19052,0.88138,0.97833,0.42791,-1.39306,1.25299,-0.32538,-0.48418,-0.60161,0.07519,-1.28616,-0.51879,0.21526,-1.48893,0.46597,-106.31337320315951
1.41659,0.78924,-0.94545,-0.43908,0.11147,-0.69993,-0.81425,-0.69606,1.26209,-0.36319,0.91128,-2.0403,1.38392,0.22492,-1.11216,-1.46798,128.1639545157932
0.56174,0.90432,-1.19618,-0.28123,0.36979,2.19183,-0.22844,-0.11511,0.35188,-1.4733,1.09193,1.17313,-1.33043,-2.10179,-0.00128,0.68958,124.71823958699821
-2.06028,0.30387,0.85285,-0.72458,1.10568,0.14299,0.14579,-0.79641,0.9278,-0.1848,-0.10749,1.86719,0.49429,-0.73874,0.65026,0.75186,-60.73695207013206
0.61685,-2.02089,1.03797,0.04582,-0.0697,-0.52302,1.49901,0.27262,-0.95596,-0.43185,0.94438,0.51136,0.07138,-0.75845,0.67014,-0.08308,113.26788829643415
-0.24856,-1.188,-0.23311,0.95397,-0.0805,-0.86894,0.68272,0.13348,-0.04326,1.20315,2.48928,-0.11741,1.22845,-0.00091,-0.68746,-0.29686,96.9187779678128
-0.79856,-1.99026,-0.50813,-0.17878,-2.31943,0.18365,1.17533,-2.65167,1.78696,-1.37742,-0.97383,1.15275,0.07618,-0.7396,-1.11851,-1.11353,-124.11449440723898
2.32578,0.94921,-0.94595,-0.70904,0.77644,0.48691,-0.92979,0.1202,0.54203,0.46403,-1.56051,-0.51706,-0.31873,-0.5872,-1.1206,-2.30469,-3.1342518218308646
-0.11351,-0.40093,-0.85586,-0.765,-0.97185,1.07349,-1.45633,0.46811,-0.55124,0.07869,-0.26319,-0.77906,-0.35808,-1.36694,-0.34411,0.25994,-71.55418549876802
0.79543,0.68082,-0.10759,0.2487,0.97381,0.24518,-1.59493,-0.84376,-0.2828,0.14938,0.02304,0.61967,0.38997,-1.6871,1.80011,-1.16137,173.0420272878092
-1.23038,0.50722,1.2698,-1.65045,-1.28753,0.37608,0.20154,0.8522,1.38423,-0.51712,-1.04637,-0.74139,-1.15607,-1.71862,-0.60061,-0.80847,-137.3929864493057
-1.05292,-0.14162,-0.71478,0.48039,-0.16936,0.48603,-0.1837,-1.68071,0.9561,0.49492,-0.04858,-0.86934,-1.25015,-1.16534,0.65896,-0.22407,12.80587100638825
1.04161,1.71205,2.35322,0.02573,0.28717,0.10759,-0.31822,1.22814,-0.2302,-0.87721,2.299,0.87421,-0.07585,-0.20874,1.36883,-0.28652,310.69657164531765
1.71117,-0.77182,-1.03622,0.95068,-1.24335,-1.32226,0.56561,0.13942,-0.02655,-0.9287,-0.39255,0.48758,0.34235,-1.02027,-0.86016,0.48821,27.627933902866697
0.38555,-0.183,0.47006,1.95691,-0.24403,-1.03474,-1.4201,-1.39884,0.66254,-0.139,-0.26361,1.0309,0.6346,1.68733,-1.57657,-0.26998,-76.36019157799744
-1.21034,-0.36207,-0.96703,0.24463,-0.28157,1.25016,-0.89392,-1.33581,-1.2594,0.7776,-0.9618,0.95423,0.1074,-1.00073,-1.83092,0.79714,-326.8559657135143
0.11249,0.72573,-0.33903,-1.97217,-1.24048,-0.45675,0.21146,1.73122,1.6451,1.45975,0.68996,0.42993,1.10138,-0.28419,-0.91443,1.60038,55.634733192622576
0.9575,0.33362,-0.40707,-0.97019,1.33642,0.85484,-1.60977,1.82728,0.34897,-1.91997,2.0566,0.58887,0.21371,-0.9162,0.2569,1.47197,233.37991837190688
-0.8313,-1.1016,-1.53659,-0.39731,-0.35511,0.30465,-1.23743,0.24688,1.86729,0.18098,-0.74303,0.44246,0.26179,0.94496,0.19936,-0.3296,-13.451969509673043
0.91941,1.07568,0.60524,0.51963,-0.44829,-0.54627,-0.25503,-0.09032,-0.61285,-0.1586,0.3027,1.28813,-1.05177,-0.82841,0.3406,0.02341,81.97801085551205
1.33646,0.54836,-1.21759,-1.35491,0.79009,0.37202,0.66463,0.6112,0.03438,-1.2189,-0.13739,0.71622,-0.75927,-0.7925,-0.77004,-0.49914,28.021491345528627
2.12108,0.92692,0.18528,0.77353,0.87432,-0.94886,1.1079,-0.13254,0.90501,-1.76169,0.49244,0.13267,-0.78933,-0.22537,-0.384,0.47213,185.6405414729981
-1.72755,0.02675,0.99391,0.57049,-0.37116,0.08783,-2.202,0.34879,2.11284,-0.13911,0.96517,0.73834,0.93471,0.98444,-0.48525,0.71143,-0.42931173716755483
-1.58115,-0.47601,-1.19785,0.04474,-2.67022,-0.7419,-0.8813,0.55593,-0.12118,0.68547,0.76601,-0.76983,0.75988,0.33448,-0.64997,1.03171,-107.05989481972074
-1.04686,0.40872,-0.28604,-1.47854,0.42525,-0.38418,-1.50093,0.09263,-1.01849,-0.26064,-1.58412,0.21202,1.53114,-0.83079,1.67172,-0.75187,-96.09127457741725
-0.12945,-0.90691,0.12679,-0.73515,1.62986,0.16489,0.23406,1.7574,-0.21497,0.24639,-0.19605,0.24075,0.871,-0.29088,-0.16505,-1.7393,-41.55076359940374
