iter	Logloss
0	0.6923424877
1	0.6915929014
2	0.6908984892
3	0.6902405489
4	0.6895790568
5	0.6889865794
6	0.6883965963
7	0.6878257622
8	0.687294598
9	0.6867833318
10	0.6863454833
11	0.6858989382
12	0.6854792326
13	0.6850565796
14	0.6846312027
15	0.6842421793
16	0.6839008769
17	0.6835518837
18	0.6832175965
19	0.6828956754
20	0.6825794563
21	0.6822964605
22	0.682010731
23	0.681744595
24	0.6814726005
25	0.6812012744
26	0.6809545281
27	0.680704579
28	0.6804914573
29	0.6802850153
30	0.6800853021
31	0.6798751918
32	0.6796567181
33	0.6794911962
34	0.6792981407
35	0.6791133769
36	0.6789444961
37	0.6787752102
38	0.6786054837
39	0.678448512
40	0.6782746204
41	0.6781076253
42	0.677943876
43	0.6777796308
44	0.6776245857
45	0.6774591086
46	0.6773216193
47	0.6771664235
48	0.6770259097
49	0.676896433
50	0.6767745831
51	0.6766141714
52	0.6764965145
53	0.6763654213
54	0.6762438559
55	0.676130927
56	0.6760295233
57	0.6759131493
58	0.6758117367
59	0.6757014594
60	0.6755872352
61	0.6754583885
62	0.6753623623
63	0.6752491335
64	0.6751552783
65	0.6750514621
66	0.6749476955
67	0.674827821
68	0.6747159656
69	0.6745925811
70	0.6744852144
71	0.674389279
72	0.6743055118
73	0.6742046208
74	0.6741153253
75	0.6740120553
76	0.6739014993
77	0.6738245934
78	0.6737217889
79	0.6736099238
80	0.6734920712
81	0.6733984244
82	0.6732910231
83	0.6732132463
84	0.6731145804
85	0.673025256
86	0.6729343774
87	0.6728511099
88	0.6727634272
89	0.6726785748
90	0.6726215925
91	0.6725249263
92	0.6724507172
93	0.6723734516
94	0.6722880831
95	0.6722021002
96	0.6721192418
97	0.6720416928
98	0.6719649916
99	0.6718752742
100	0.6717906275
101	0.6717153326
102	0.6716171027
103	0.6715405097
104	0.6714730384
105	0.6713896237
106	0.6712965215
107	0.6712085864
108	0.6711173844
109	0.6710401628
110	0.6709695968
111	0.6708920113
112	0.6708368503
113	0.6707528646
114	0.6706816902
115	0.6706113993
116	0.6705458754
117	0.6704508774
118	0.6703760047
119	0.6702916023
120	0.670185649
121	0.6700775461
122	0.6700002049
123	0.6698994218
124	0.6698262396
125	0.6697531647
126	0.6696829881
127	0.6695833456
128	0.669489281
129	0.6694044769
130	0.6693409379
131	0.6692626894
132	0.6691895561
133	0.6691219101
134	0.6690429618
135	0.6689960613
136	0.6689379539
137	0.6688502873
138	0.6687823428
139	0.6686722302
140	0.6686111321
141	0.6685084713
142	0.6684323343
143	0.6683792008
144	0.6683193293
145	0.6682533471
146	0.6681852776
147	0.6681192776
148	0.6680535352
149	0.6679584025
150	0.6678913878
151	0.6678371744
152	0.6677505384
153	0.6676805457
154	0.6675828511
155	0.6675132374
156	0.6674256681
157	0.6673716099
158	0.6673213794
159	0.6672633994
160	0.6671930554
161	0.6670931165
162	0.6670048788
163	0.666933358
164	0.6668609736
165	0.6667898838
166	0.6667048491
167	0.6666381324
168	0.6665796714
169	0.6665225857
170	0.6664502434
171	0.6663870193
172	0.6663261151
173	0.6662509357
174	0.666187452
175	0.6661386393
176	0.6660704775
177	0.6659919708
178	0.6659125123
179	0.6658426283
180	0.6657567189
181	0.6656765428
182	0.6656341872
183	0.6655395362
184	0.6654436081
185	0.6653901227
186	0.6653155111
187	0.6652298627
188	0.665164732
189	0.665106107
190	0.665043343
191	0.6649779288
192	0.6649172116
193	0.6648294081
194	0.6647277913
195	0.6646587208
196	0.6645832209
197	0.6645190205
198	0.6644655655
199	0.664402482
200	0.6643289587
201	0.664266043
202	0.6641969177
203	0.6641113462
204	0.6640255654
205	0.6639377864
206	0.6638833386
207	0.6638142907
208	0.6637561001
209	0.6637053373
210	0.6636592009
211	0.6635836108
212	0.6635341368
213	0.6634782273
214	0.6634187594
215	0.663338743
216	0.6632721262
217	0.6631955339
218	0.6631422174
219	0.6630696356
220	0.6629713273
221	0.6628975712
222	0.6628419518
223	0.6627788176
224	0.6627071828
225	0.6626583103
226	0.6625879682
227	0.6625222024
228	0.6624724955
229	0.6624092901
230	0.6623654974
231	0.6623174004
232	0.6622621054
233	0.6621840506
234	0.6621392228
235	0.6620994015
236	0.6620324432
237	0.6619619593
238	0.661914371
239	0.6618467307
240	0.6617902864
241	0.6616999857
242	0.6616503657
243	0.6616127822
244	0.661557225
245	0.6614998866
246	0.6614342448
247	0.6613717307
248	0.6613335949
249	0.6612617518
250	0.6612141214
251	0.661138663
252	0.6610651136
253	0.6610076416
254	0.6609453718
255	0.6609003427
256	0.6608433639
257	0.6607916076
258	0.660730797
259	0.6606561701
260	0.6605929446
261	0.6605212433
262	0.6604381548
263	0.6603814604
264	0.6603278056
265	0.6602785459
266	0.6602345858
267	0.6601805042
268	0.6601330074
269	0.6600799604
270	0.6600383794
271	0.6599904533
272	0.659921566
273	0.6598503368
274	0.6597961955
275	0.6597506404
276	0.659678675
277	0.6596447805
278	0.6595929624
279	0.6595447179
