iter	Passed	Remaining
0	25	7147
1	50	7033
2	74	6906
3	100	6953
4	123	6786
5	144	6610
6	166	6507
7	185	6303
8	205	6198
9	226	6102
10	247	6044
11	267	5977
12	288	5916
13	310	5897
14	331	5859
15	352	5816
16	374	5793
17	396	5767
18	418	5752
19	441	5738
20	464	5730
21	486	5711
22	508	5676
23	530	5657
24	551	5622
25	572	5593
26	594	5571
27	615	5541
28	636	5511
29	660	5502
30	681	5476
31	703	5450
32	726	5438
33	747	5409
34	769	5386
35	791	5363
36	813	5342
37	835	5322
38	864	5341
39	888	5329
40	910	5304
41	931	5279
42	953	5253
43	976	5236
44	998	5212
45	1020	5190
46	1041	5163
47	1063	5142
48	1086	5120
49	1107	5093
50	1128	5067
51	1151	5048
52	1172	5023
53	1193	4995
54	1214	4970
55	1235	4942
56	1256	4916
57	1278	4895
58	1299	4869
59	1321	4846
60	1342	4819
61	1364	4799
62	1387	4780
63	1411	4763
64	1433	4740
65	1454	4714
66	1475	4691
67	1497	4667
68	1519	4645
69	1542	4627
70	1566	4609
71	1589	4591
72	1611	4569
73	1632	4544
74	1653	4519
75	1674	4494
76	1695	4469
77	1715	4443
78	1738	4422
79	1761	4403
80	1784	4383
81	1807	4363
82	1836	4357
83	1860	4342
84	1884	4322
85	1908	4304
86	1931	4284
87	1953	4262
88	1976	4241
89	1999	4221
90	2023	4201
91	2048	4185
92	2073	4170
93	2097	4150
94	2120	4129
95	2143	4109
96	2169	4093
97	2194	4074
98	2217	4054
99	2241	4034
100	2266	4016
101	2289	3996
102	2311	3972
103	2332	3947
104	2353	3923
105	2375	3899
106	2398	3877
107	2419	3853
108	2440	3828
109	2461	3804
110	2484	3782
111	2505	3758
112	2527	3735
113	2548	3711
114	2571	3689
115	2593	3666
116	2614	3642
117	2637	3620
118	2657	3595
119	2679	3572
120	2701	3549
121	2722	3525
122	2744	3502
123	2767	3481
124	2790	3459
125	2811	3436
126	2837	3418
127	2859	3396
128	2881	3372
129	2902	3349
130	2923	3324
131	2946	3303
132	2969	3282
133	2991	3259
134	3012	3235
135	3033	3212
136	3056	3190
137	3078	3167
138	3099	3143
139	3121	3121
140	3141	3097
141	3162	3073
142	3185	3051
143	3207	3029
144	3228	3006
145	3249	2982
146	3270	2959
147	3291	2935
148	3312	2912
149	3332	2888
150	3355	2866
151	3377	2844
152	3400	2822
153	3422	2800
154	3444	2777
155	3465	2754
156	3486	2731
157	3507	2708
158	3528	2685
159	3553	2664
160	3576	2643
161	3599	2621
162	3620	2598
163	3641	2575
164	3662	2552
165	3684	2530
166	3706	2507
167	3727	2485
168	3748	2462
169	3771	2440
170	3795	2419
171	3823	2400
172	3846	2379
173	3868	2356
174	3890	2334
175	3912	2312
176	3934	2289
177	3957	2267
178	3978	2244
179	4000	2222
180	4023	2200
181	4046	2179
182	4069	2157
183	4091	2134
184	4114	2112
185	4136	2090
186	4157	2067
187	4179	2045
188	4201	2023
189	4223	2000
190	4245	1978
191	4266	1955
192	4288	1933
193	4310	1910
194	4332	1888
195	4355	1866
196	4379	1845
197	4401	1822
198	4421	1799
199	4443	1777
200	4465	1755
201	4486	1732
202	4506	1709
203	4528	1687
204	4551	1665
205	4574	1643
206	4595	1620
207	4617	1598
208	4639	1576
209	4660	1553
210	4680	1530
211	4702	1508
212	4723	1485
213	4745	1463
214	4767	1441
215	4789	1419
216	4817	1398
217	4840	1376
218	4861	1354
219	4883	1331
220	4905	1309
221	4928	1287
222	4952	1265
223	4975	1243
224	4998	1221
225	5020	1199
226	5043	1177
227	5066	1155
228	5089	1133
229	5112	1111
230	5133	1088
231	5155	1066
232	5176	1044
233	5198	1021
234	5219	999
235	5242	977
236	5265	955
237	5286	932
238	5306	910
239	5327	887
240	5349	865
241	5372	843
242	5394	821
243	5417	799
244	5439	777
245	5461	754
246	5481	732
247	5504	710
248	5525	687
249	5549	665
250	5573	644
251	5597	621
252	5621	599
253	5645	577
254	5670	555
255	5695	533
256	5717	511
257	5740	489
258	5762	467
259	5783	444
260	5809	422
261	5836	400
262	5858	378
263	5878	356
264	5899	333
265	5920	311
266	5942	289
267	5964	267
268	5986	244
269	6007	222
270	6031	200
271	6054	178
272	6077	155
273	6102	133
274	6126	111
275	6149	89
276	6174	66
277	6198	44
278	6222	22
279	6247	0
